driverId,avg_pitstop_time,position
813,21222.333333333332,1
4,19863.0,2
8,20383.666666666668,3
154,20824.333333333332,4
155,21317.333333333332,5
20,19711.75,6
3,20252.666666666668,7
1,20971.5,8
18,20427.333333333332,9
807,20531.333333333332,10
17,21704.0,11
818,21164.333333333332,12
817,20424.666666666668,13
814,20511.333333333332,14
13,18933.25,15
5,21710.333333333332,16
808,23248.333333333332,17
10,20884.333333333332,18
37,21856.0,19
815,23816.666666666668,\N
819,21137.0,\N
39,22016.5,\N
811,nan,\N
30,20113.0,\N
